PS Job Title,Primary Skill,Cost Center Type,Cost Center Name,PS Craft,Primary Role,Career Stage Level,Job ID
Art Director,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-75757
Associate Agile Program Management,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Associate,2024-75809
Associate Agile Program Management L1,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Associate L1,2024-75775
Associate Agile Program Management L2,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Associate L2,2024-75794
Associate Creative Director,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2025-93098
Associate Data Analytics L1,Sales Strategy and Standards,Sales & Leadership,Global Growth,Sales,Global Growth,Associate L1,2024-75919
Associate Director Business Development,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-76001
Associate Director Business Development,Sales Strategy and Standards,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-76002
Business Development Manager,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-76484
Content Strategy Director,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76522
Design Lead,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-76551
Director Business Development,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76675
Director Business Development,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76682
Director Content Marketing Strategy,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76708
Director Data Analytics,Sales Strategy and Standards,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76730
Director General Management,Sales Strategy and Standards,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76864
Director Marketing,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Director L1,2024-76879
GVP Business Development,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,VP L2,2024-77372
GVP Business Development,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,VP L2,2024-77375
GVP Business Development,Strategic Sales,Sales & Leadership,Global Growth,Sales,Global Growth,VP L2,2024-77378
Junior Art Director L1,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Associate L1,2024-77806
Junior Art Director L2,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Associate L2,2024-77810
Manager Agile Program Management,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-78123
Senior Art Director,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-78939
Senior Associate Agile Program Management,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-78965
Senior Associate Agile Program Management,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-78971
Senior Associate Business Consulting,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-78991
Senior Associate Content Design,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-79036
Senior Associate Marketing,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Associate,2024-79279
Senior Business Development Manager,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-79724
Senior Business Development Manager,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-79729
Senior Copywriter,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Manager,2024-79773
Senior Director Business Development,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Director L2,2024-79888
Senior Director Business Development,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Director L2,2024-79892
Senior Director General Management,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Director L2,2024-80050
Senior Manager Agile Program Management,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-80391
Senior Manager Agile Program Management,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-80414
Senior Manager Data Analytics,Sales Operations,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-80487
Senior Manager Finance,Sales Operations,Sales & Leadership,Global Growth,Sales,Global Growth,Senior Manager,2024-80560
Senior Vice President,Offering Management,Sales & Leadership,Global Growth,Sales,Global Growth,Executive L1,2024-81042
Senior Vice President,Sales Innovation and Ecosystems,Sales & Leadership,Global Growth,Sales,Global Growth,Executive L1,2024-81043
Senior Vice President,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,Executive L1,2024-81044
VP Business Development,Offering Management,Sales & Leadership,Global Growth,Sales,Global Growth,VP L1,2024-81250
VP Business Development,Offering Sales,Sales & Leadership,Global Growth,Sales,Global Growth,VP L1,2024-81251
Vice President Business Consulting,Sales Programs,Sales & Leadership,Global Growth,Sales,Global Growth,VP L1,2024-81531
Account Executive,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Associate L1,2024-75679
Account Manager,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Associate L1,2024-75683
Account Manager,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Senior Associate L1,2024-75682
Account Supervisor,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Manager,2024-75689
Account Supervisor,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Manager,2024-75688
Acct Director,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Manager,2024-75687
Acct Director,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Manager,2024-75684
Associate Account Management Director,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Manager,2024-75763
Associate Director Business Development,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Manager,2024-75999
Associate Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Manager,2024-76006
Associate Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Senior Manager,2024-76007
Associate Director Business Development,Other Partner Sales,Sales & Leadership,Industry Sales,Sales,Partner Sales Executive,Senior Manager,2024-75997
Business Development Manager,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Associate,2024-76487
Business Development Manager,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Associate,2024-76490
Business Development Manager,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Senior Associate,2025-93488
Client Partner,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Director L1,2024-76508
Client Partner,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L1,2024-76503
Director Agile Program Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L1,2024-76596
Director Business Consulting,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Director L1,2024-76664
Director Business Development,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,Director L1,2024-76667
Director Business Development,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Director L1,2024-76680
Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Director L1,2024-76686
Director Business Development,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L1,2024-76669
Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Director L1,2024-76687
Director Business Development,Other Partner Sales,Sales & Leadership,Industry Sales,Sales,Partner Sales Executive,Director L1,2024-76678
Director General Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L1,2024-76861
Director Strategy and Consulting,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L1,2024-76985
Executive Client Partner,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,VP L1,2024-77189
Executive Client Partner,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,VP L1,2024-77186
Executive Client Partner,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L1,2024-77184
Executive Vice President,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,Executive L2,2024-77193
GVP Agile Program Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L2,2024-77331
GVP Business Development,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,VP L2,2024-77370
GVP Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,VP L2,2024-77379
GVP General Management,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,VP L2,2024-77446
GVP General Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L2,2024-77445
GVP General Management,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,VP L2,2024-77450
GVP Technology,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,VP L2,2024-77540
Intern Account Management,General,Sales & Leadership,Industry Sales,Sales,Project Analyst,Intern,2024-77598
Manager Agile Program Management,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Manager,2024-78122
Managing Director,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,VP L2,2024-78580
Managing Partner,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,VP L2,2024-78593
Managing Partner,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,VP L2,2024-78599
Managing Partner,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,VP L2,2024-78597
Managing Partner,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L2,2024-78595
Managing Partner,Offering Development,Sales & Leadership,Industry Sales,Sales,Offering Developer,VP L2,2024-78598
SVP General Management,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,Executive L1,2024-78820
SVP General Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Executive L1,2024-78819
Senior Account Director,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Manager,2024-78882
Senior Account Director,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Senior Manager,2024-78877
Senior Account Director,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Senior Manager,2024-78879
Senior Account Executive,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Associate L2,2024-78884
Senior Account Manager,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Senior Associate L2,2024-78886
Senior Associate Business Operations L2,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Senior Associate L2,2024-79018
Senior Business Development Manager,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Manager,2024-79727
Senior Business Development Manager,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Manager,2024-79732
Senior Client Partner,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Director L2,2024-79737
Senior Client Partner,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L2,2024-79734
Senior Client Partner,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Director L2,2024-79738
Senior Director Agile Program Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L2,2024-79808
Senior Director Business Development,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,Director L2,2024-79877
Senior Director Business Development,Proposal Management,Sales & Leadership,Industry Sales,Sales,Business Development,Director L2,2024-79891
Senior Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,Director L2,2024-79895
Senior Director Business Development,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,Director L2,2024-79880
Senior Director Business Development,Account Management,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L2,2024-79874
Senior Director Business Development,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L2,2024-79879
Senior Director Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Director L2,2024-79896
Senior Director General Management,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Director L2,2024-80051
Senior Director Strategy and Consulting,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Director L2,2024-80150
Senior Technology Strategist,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Senior Manager,2024-81028
Senior Vice President,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,Executive L1,2024-81039
Senior Vice President,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,Executive L1,2024-81033
Senior Vice President,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Executive L1,2024-81046
VP Business Development,Bridge Sales (PowOf1),Sales & Leadership,Industry Sales,Sales,Business Development,VP L1,2024-81247
VP Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,VP L1,2024-81256
VP Business Development,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L1,2024-81249
VP Business Development,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,VP L1,2024-81257
VP Customer Experience & Innovation Consulting,Strategic Sales,Sales & Leadership,Industry Sales,Sales,Business Development,VP L1,2024-81271
Vice President Agile Program Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L1,2024-81489
Vice President General Management,General Management,Sales & Leadership,Industry Sales,Sales,Business Lead,VP L1,2024-81545
Vice President General Management,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L1,2024-81543
Vice President General Management,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,VP L1,2024-81548
Vice President General Management,TBD,Sales & Leadership,Industry Sales,Sales,Industry SME,VP L1,2024-81550
Vice President Managing Director,Client Partner,Sales & Leadership,Industry Sales,Sales,Client Partner,VP L1,2024-81554
Account Coordinator,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Junior Associate,2025-93485
Account Coordinator,Other Partner Sales,Sales & Leadership,Market Sales,Sales,Partner Sales Executive,Junior Associate,2024-75675
Account Executive,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Associate L1,2024-75680
Acct Director,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Manager,2024-75686
Acct Director,Account Management,Sales & Leadership,Market Sales,Sales,Client Partner,Manager,2024-75685
Associate Director Business Development,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Senior Manager,2024-76000
Associate Director Business Development,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,Senior Manager,2024-75993
Client Partner,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,Director L1,2024-76504
Client Partner,Other Partner Sales,Sales & Leadership,Market Sales,Sales,Partner Sales Executive,Director L1,2024-76506
Director Business Development,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,Director L1,2024-76668
Director Business Development,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Director L1,2024-76681
Executive Client Partner,Strategic Sales,Sales & Leadership,Market Sales,Sales,Business Development,VP L1,2024-77190
Executive Client Partner,General Management,Sales & Leadership,Market Sales,Sales,Business Lead,VP L1,2024-77187
Executive Client Partner,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,VP L1,2024-77185
Executive Client Partner,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,VP L1,2024-77188
Executive Vice President,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,Executive L2,2024-77194
GVP Business Development,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,VP L2,2024-77371
GVP Engineering,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,VP L2,2024-77399
GVP General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,VP L2,2025-93179
GVP General Management,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,VP L2,2024-77447
GVP General Management,General Management,Sales & Leadership,Market Sales,none,General Manager,VP L2,2024-77448
Intern Account Management,General,Sales & Leadership,Market Sales,Sales,Project Analyst,Intern,2024-77599
Managing Director,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,VP L2,2024-78581
Managing Partner,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,VP L2,2024-78594
Managing Partner,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,VP L2,2024-78596
SVP General Management,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,Executive L1,2024-78821
Senior Account Director,Strategic Sales,Sales & Leadership,Market Sales,Sales,Business Development,Senior Manager,2024-78883
Senior Account Director,Account Management,Sales & Leadership,Market Sales,Sales,Client Partner,Senior Manager,2024-78878
Senior Account Director,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,Senior Manager,2024-78880
Senior Business Development Manager,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Manager,2024-79728
Senior Client Partner,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,Director L2,2024-79735
Senior Client Partner,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,Director L2,2024-79736
Senior Director Business Development,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,Director L2,2024-79878
Senior Director Business Development,Strategic Sales,Sales & Leadership,Market Sales,Sales,Business Development,Director L2,2024-79897
Senior Director General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,Director L2,2025-93284
Senior Director General Management,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,Director L2,2024-80046
Senior Director General Management,General Management,Sales & Leadership,Market Sales,none,General Manager,Director L2,2024-80047
Senior Director Product Management,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Director L2,2024-80113
Senior Vice President,Client Partner,Sales & Leadership,Market Sales,Sales,Client Partner,Executive L1,2024-81034
Senior Vice President,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,Executive L1,2024-81040
VP Business Development,Bridge Sales (PowOf1),Sales & Leadership,Market Sales,Sales,Business Development,VP L1,2024-81248
VP Strategy and Consulting,General Management,Sales & Leadership,Market Sales,Sales,Business Lead,VP L1,2024-81456
VP Strategy and Consulting,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,VP L1,2024-81457
Vice President General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,VP L1,2025-93357
Vice President General Management,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,VP L1,2024-81546
Vice President Managing Director,General Management,Sales & Leadership,Market Sales,Sales,Market Lead,VP L1,2024-81555
Associate Creative Director,Sales Enablement,Sales & Leadership,Global Growth,Sales,Global Growth,Sr. Manager/Sr. Specialist,2025-96308
Business Development Manager,Strategic Sales,Sales & Leadership,Industry Sales,Sales,External Independent Advisor,Senior Associate,2025-100405
Account Coordinator,Proposal Management,Sales & Leadership,Market Sales,Sales,Business Development,Junior Associate,2025-100402
Senior Director General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,Director/Expert L2,2025-96495
Vice President General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,VP/Fellow L1,2025-96568
GVP General Management,General Management,Sales & Leadership,Market Sales,Sales,General Manager,VP/Fellow L2,2025-96389
Account Executive,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Associate L1,2024-75677
Account Executive,Google,Practices,Cloud,Sales,Partner Sales Executive,Associate L1,2024-75678
Associate Director Business Development,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Senior Manager,2024-75991
Associate Director Business Development,Microsoft,Practices,Cloud,Sales,Partner Sales Executive,Senior Manager,2024-75994
Director Business Development,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-76666
Director Business Development,Google,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-76670
Director Business Development,Microsoft,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-76671
Director Business Development,Salesforce,Practices,Cloud,none,Partner Sales Executive,Director L1,2024-76683
Director Strategy and Consulting,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-76982
Director Strategy and Consulting,Google,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-76987
Director Technology,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-77015
Director Technology,Microsoft,Practices,Cloud,Sales,Partner Sales Executive,Director L1,2024-77059
GVP Strategy and Consulting,Amazon,Practices,Cloud,Sales,Partner Sales Executive,VP L2,2024-77511
GVP Strategy and Consulting,Google,Practices,Cloud,Sales,Partner Sales Executive,VP L2,2024-77513
SVP Strategy and Consulting,Microsoft,Practices,Cloud,Sales,Partner Sales Executive,Executive L1,2024-78864
Senior Director Business Development,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Director L2,2024-79876
Senior Director Business Development,Google,Practices,Cloud,Sales,Partner Sales Executive,Director L2,2024-79881
Senior Director Business Development,Microsoft,Practices,Cloud,Sales,Partner Sales Executive,Director L2,2024-79882
Senior Vice President,Amazon,Practices,Cloud,Sales,Partner Sales Executive,Executive L1,2024-81031
VP Business Development,Amazon,Practices,Cloud,Sales,Partner Sales Executive,VP L1,2024-81246
Associate Marketing,Offering Development,Practices,Commerce,Sales,Offering Developer,Associate,2024-76171
Director Business Development,Other Partner Sales,Practices,Commerce,Sales,Partner Sales Executive,Director L1,2024-76676
Director Marketing,Partner Marketing,Practices,Commerce,Sales,Partner Sales Executive,Director L1,2024-76878
Director Marketing,TBD,Practices,Commerce,none,Partner Sales Executive,Director L1,2024-76892
GVP Technology,Offering Development,Practices,Commerce,Sales,Offering Developer,VP L2,2024-77547
Senior Director Business Development,Microsoft,Practices,Commerce,Sales,Partner Sales Executive,Director L2,2024-79883
Senior Director Strategy and Consulting,Other Partner Sales,Practices,Commerce,Sales,Partner Sales Executive,Director L2,2024-80156
Senior Director Strategy and Consulting,TBD,Practices,Commerce,none,TBD,Director L2,2024-80159
Senior Director Technology,Offering Development,Practices,Commerce,Sales,Offering Developer,Director L2,2024-80217
Senior Manager Marketing,Other Partner Sales,Practices,Commerce,Sales,Partner Sales Executive,Senior Manager,2024-80615
Senior Manager Marketing,Partner Marketing,Practices,Commerce,Sales,Partner Sales Executive,Senior Manager,2024-80616
Account Coordinator,TBD,Practices,Data/AI,PSAIL,TBD,Junior Associate,2024-75676
Associate Consultant L1,TBD,Practices,Data/AI,PSAIL,TBD,Junior Associate,2024-75860
Director Business Development,TBD,Practices,Data/AI,PSAIL,TBD,Director L1,2024-76688
